VCD info: dumpfile Noc.vcd opened for output.
Node0: Message: 1 Destination: 8 Departure_Time: 4
Node0: Message: 2 Destination: 2 Departure_Time: 4
Node0: Message: 3 Destination: 3 Departure_Time: 4
Node0: Message: 4 Destination: 4 Departure_Time: 4
Node1: Message: 1 Destination: 7 Departure_Time: 4
Node1: Message: 2 Destination: 8 Departure_Time: 4
Node1: Message: 3 Destination: 5 Departure_Time: 4
Node1: Message: 4 Destination: 8 Departure_Time: 4
Node2: Message: 1 Destination: 1 Departure_Time: 4
Node2: Message: 2 Destination: 6 Departure_Time: 4
Node2: Message: 3 Destination: 8 Departure_Time: 4
Node2: Message: 4 Destination: 5 Departure_Time: 4
Node3: Message: 1 Destination: 6 Departure_Time: 4
Node3: Message: 2 Destination: 6 Departure_Time: 4
Node3: Message: 3 Destination: 2 Departure_Time: 4
Node3: Message: 4 Destination: 1 Departure_Time: 4
Node4: Message: 1 Destination: 5 Departure_Time: 4
Node4: Message: 2 Destination: 1 Departure_Time: 4
Node4: Message: 3 Destination: 0 Departure_Time: 4
Node4: Message: 4 Destination: 2 Departure_Time: 4
Node5: Message: 1 Destination: 8 Departure_Time: 4
Node5: Message: 2 Destination: 8 Departure_Time: 4
Node5: Message: 3 Destination: 7 Departure_Time: 4
Node5: Message: 4 Destination: 7 Departure_Time: 4
Node6: Message: 1 Destination: 4 Departure_Time: 4
Node6: Message: 2 Destination: 8 Departure_Time: 4
Node6: Message: 3 Destination: 0 Departure_Time: 4
Node6: Message: 4 Destination: 1 Departure_Time: 4
Node7: Message: 1 Destination: 8 Departure_Time: 4
Node7: Message: 2 Destination: 4 Departure_Time: 4
Node7: Message: 3 Destination: 8 Departure_Time: 4
Node7: Message: 4 Destination: 8 Departure_Time: 4
Node8: Message: 1 Destination: 2 Departure_Time: 4
Node8: Message: 2 Destination: 1 Departure_Time: 4
Node8: Message: 3 Destination: 7 Departure_Time: 4
Node8: Message: 4 Destination: 5 Departure_Time: 4
Node7: Message: 5 Destination: 6 Departure_Time: 81
Node4: Message: 5 Destination: 0 Departure_Time: 81
Node3: Message: 5 Destination: 0 Departure_Time: 81
Node2: Message: 5 Destination: 6 Departure_Time: 81
Node3: Message: 6 Destination: 2 Departure_Time: 82
Node4: Message: 6 Destination: 2 Departure_Time: 82
Node5: Message: 6 Destination: 8 Departure_Time: 82
Node7: Message: 6 Destination: 4 Departure_Time: 82
Node8: Message: 7 Destination: 0 Departure_Time: 83
Node7: Message: 7 Destination: 2 Departure_Time: 83
Node0: Message: 7 Destination: 4 Departure_Time: 83
Node7: Message: 8 Destination: 8 Departure_Time: 84
Node8: Message: 8 Destination: 4 Departure_Time: 84
Node8: Message: 5 Destination: 5 Departure_Time: 85
Node6: Message: 5 Destination: 7 Departure_Time: 85
Node1: Message: 5 Destination: 6 Departure_Time: 85
Node4: Message: 7 Destination: 3 Departure_Time: 87
Node0: Message: 8 Destination: 5 Departure_Time: 88
Node3: Message: 8 Destination: 1 Departure_Time: 88
Node4: Message: 8 Destination: 3 Departure_Time: 88
Node5: Message: 8 Destination: 7 Departure_Time: 88
Node3: Message: 7 Destination: 6 Departure_Time: 91
Node1: Message: 1 Source: 6 Arrival_Time: 96
Node5: Message: 1 Source: 4 Arrival_Time: 96
Node6: Message: 1 Source: 1 Arrival_Time: 96
Node8: Message: 1 Source: 5 Arrival_Time: 96
Node8: Message: 2 Source: 7 Arrival_Time: 97
Node6: Message: 2 Source: 1 Arrival_Time: 97
Node4: Message: 2 Source: 5 Arrival_Time: 97
Node1: Message: 2 Source: 4 Arrival_Time: 97
Node3: Message: 3 Source: 0 Arrival_Time: 98
Node7: Message: 3 Source: 8 Arrival_Time: 98
Node8: Message: 3 Source: 5 Arrival_Time: 98
Node8: Message: 4 Source: 5 Arrival_Time: 99
Node5: Message: 4 Source: 8 Arrival_Time: 99
Node2: Message: 1 Source: 8 Arrival_Time: 112
Node4: Message: 1 Source: 2 Arrival_Time: 112
Node7: Message: 1 Source: 3 Arrival_Time: 112
Node0: Message: 3 Source: 4 Arrival_Time: 114
Node7: Message: 4 Source: 7 Arrival_Time: 115
Node4: Message: 4 Source: 0 Arrival_Time: 115
Node2: Message: 4 Source: 4 Arrival_Time: 115
Node1: Message: 4 Source: 1 Arrival_Time: 115
Node2: Message: 6 Destination: 4 Departure_Time: 130
Node2: Message: 3 Source: 1 Arrival_Time: 130
Node6: Message: 6 Destination: 7 Departure_Time: 142
Node5: Message: 7 Destination: 3 Departure_Time: 143
Node2: Message: 7 Destination: 6 Departure_Time: 143
Node5: Message: 5 Destination: 4 Departure_Time: 153
Node2: Message: 8 Destination: 3 Departure_Time: 156
Node6: Message: 8 Destination: 5 Departure_Time: 160
Node8: Message: 1 Source: 7 Arrival_Time: 168
